  No.	Character   	Type     	Level     	Required for  	Keyword                   	A.K.A.                                            	Requires
  309	各          	character	Medium    	Elementary (1)	each                      	                                                	'mouth', 'walking legs'
  310	格          	character	Advanced  	              	pattern                   	                                                	'each', 'tree'
  311	略          	character	          	              	abbreviation              	                                                	'each', 'rice field'
  312	客          	character	Medium    	              	guest                     	                                                	'house', 'each'
  313	额          	character	          	              	forehead                  	                                                	'guest', 'head'
  314	夏          	character	Medium    	              	summer                    	                                                	'nose', 'ceiling', 'walking legs'
  315	洛          	character	          	              	L.A.                      	                                                	'each', 'water'
  316	落          	character	Advanced  	              	fall                      	                                                	'L.A.', 'flower'
  317	备          	character	Elementary	Elementary    	prepare                   	                                                	'walking legs', 'rice field'
     	冖          	primitive	          	Elementary (1)	crown                     	                                                	
  318	冗          	character	          	              	superfluous               	                                                	'crown', 'wind'
  319	沉          	character	Advanced  	              	profound                  	                                                	'water', 'superfluous'
  320	军          	character	Advanced  	              	army                      	'chariot'                                       	'crown', 'vehicle'
  321	辉          	character	          	              	radiance                  	                                                	'ray', 'chariot'
  322	冠          	character	          	Elementary (1)	crown                     	                                                	'crown', 'glued to', 'beginning'
     	亠          	primitive	          	Elementary (1)	top hat                   	                                                	'six', 'animal legs'
     	亢          	primitive	          	Elementary (6)	whirlwind                 	                                                	'top hat', 'wind'
  323	坑          	character	          	Elementary (5)	pit                       	                                                	'whirlwind', 'soil'
  324	亩          	character	          	              	Chinese acre              	                                                	'rice field', 'top hat'
  325	高          	character	Elementary	Elementary    	tall                      	'tiara'                                         	'orientation', 'mouth', 'helmet', 'top hat'
  326	享          	character	          	              	enjoy                     	                                                	'child', 'tall'
  327	熟          	character	Medium    	              	ripe                      	                                                	'enjoy', 'bottle of pills', 'cooking fire'
  328	亭          	character	          	              	pavilion                  	                                                	'spike', 'tiara'
  329	亮          	character	Medium    	              	shiny                     	                                                	'tiara', 'wind'
  330	京          	character	Medium    	Elementary (1)	capital                   	'capitol building'                              	'tall', 'small'
  331	景          	character	Advanced  	              	scenery                   	                                                	'sun', 'capitol building'
  332	就          	character	Elementary	Elementary    	at once                   	                                                	'Frankenpooch', 'capitol building'
     	囧周－冂    	primitive	          	              	lidded crock              	                                                	'soil', 'mouth'
  333	周          	character	Medium    	              	circumference             	'lap'                                           	'lidded crock', 'helmet'
  334	士          	character	Advanced  	Elementary (2)	soldier                   	                                                	
  335	吉          	character	Advanced  	              	lucky                     	'aerosol can'                                   	'soldier', 'mouth'
  336	壮          	character	          	              	robust                    	                                                	'turtle', 'soldier'
     	囧学－子    	primitive	          	Elementary (1)	schoolhouse               	                                                	
  337	学          	character	Elementary	Elementary    	study                     	                                                	'child', 'schoolhouse'
  338	觉          	character	Elementary	Elementary    	senses                    	                                                	'schoolhouse', 'see'
     	攵          	primitive	          	Elementary (1)	taskmaster                	                                                	
  339	攻          	character	          	              	attack                    	                                                	'taskmaster', 'I-beam'
  340	敌          	character	Advanced  	              	enemy                     	                                                	'taskmaster', 'tongue'
  341	败          	character	Advanced  	              	fail                      	                                                	'taskmaster', 'clam'
  342	故          	character	Medium    	Elementary (1)	deliberately              	                                                	'ancient', 'taskmaster'
  343	救          	character	Advanced  	              	rescue                    	                                                	'taskmaster', 'request'
  344	敬          	character	Advanced  	              	revere                    	                                                	'flower', 'sentence', 'taskmaster'
  345	敞          	character	          	              	spacious                  	                                                	'esteem', 'taskmaster'
  346	言          	character	Medium    	Elementary (1)	say                       	'words'                                         	'two', 'mouth', 'top hat'
  347	警          	character	Advanced  	              	police                    	                                                	'revere', 'words'
  348	计          	character	Medium    	              	plan                      	                                                	'words', 'needle'
  349	让          	character	Elementary	Elementary    	yield                     	                                                	'above', 'words'
  350	狱          	character	          	              	prison                    	                                                	'chihuahua', 'pack of wild dogs', 'words'
  351	讨          	character	Medium    	              	condemn                   	                                                	'words', 'glue'
  352	训          	character	Advanced  	              	instruction               	                                                	'words', 'stream'
  353	识          	character	Elementary	Elementary    	knowledge                 	                                                	'only', 'word'
  354	话          	character	Elementary	Elementary    	talk                      	                                                	'words', 'tongue'
  355	诗          	character	Advanced  	              	poem                      	                                                	'Buddhist temple', 'words'
  356	语          	character	Elementary	Elementary    	language                  	                                                	'I (literary)', 'words'
  357	调          	character	Medium    	              	tune                      	                                                	'lap', 'words'
  358	谈          	character	Medium    	              	discuss                   	                                                	'inflammation', 'words'
     	弋          	primitive	          	Elementary (2)	arrow                     	                                                	
  359	式          	character	Advanced  	Elementary (1)	style                     	                                                	'arrow', 'work'
  360	试          	character	Elementary	Elementary    	test                      	                                                	'style', 'say'
  361	戈          	character	          	Elementary (1)	halberd                   	'fiesta'                                        	'arrow'
  362	战          	character	          	              	war                       	                                                	'tell fortunes', 'fiesta'
  363	划          	character	Medium    	              	scratch                   	                                                	'fiesta', 'saber'
  364	或          	character	Medium    	              	or                        	                                                	'mouth', 'floor', 'fiesta'
  365	贼          	character	          	              	burglar                   	                                                	'fiesta', 'needle', 'shells'
     	囧载－车    	primitive	          	Elementary (2)	Thanksgiving              	                                                	'land', 'fiesta'
  366	载          	character	Advanced  	              	laden                     	                                                	'cart', 'Thanksgiving'
     	戊          	primitive	          	              	parade                    	                                                	'fiesta'
  367	茂          	character	          	              	lush                      	                                                	'parade', 'flower'
  368	成          	character	Medium    	              	turn into                 	                                                	'parade', 'dagger'
  369	城          	character	Medium    	              	city                      	                                                	'dirt', 'turn into'
  370	诚          	character	Advanced  	              	sincere                   	                                                	'words', 'turn into'
     	戌          	primitive	          	              	march                     	                                                	'parade', 'one'
  371	威          	character	          	              	might                     	                                                	'march', 'woman'
  372	咸          	character	          	              	salty                     	                                                	'mouth', 'march'
     	戋          	primitive	          	Elementary (1)	float                     	                                                	'fiesta'
  373	钱          	character	Elementary	Elementary    	coin                      	                                                	'gold', 'float'
  374	浅          	character	          	              	shallow                   	                                                	'float', 'water'
  375	贱          	character	          	              	cheap                     	                                                	'float', 'clam'
  376	尧          	character	          	              	Yao                       	'javelin thrower'                               	'halberd', 'human legs'
  377	烧          	character	Medium    	              	fever                     	                                                	'fire', 'javelin thrower'
  378	晓          	character	          	              	dawn                      	                                                	'sun', 'javelin thrower'
  379	止          	character	Medium    	Elementary (1)	stop                      	'footprint', 'trail of footprints'              	
  380	步          	character	Medium    	              	footstep                  	                                                	'trail of footprints', 'few'
  381	涉          	character	          	              	ford                      	                                                	'water', 'footstep'
  382	频          	character	          	              	repeatedly                	                                                	'head', 'footstep'
  383	肯          	character	          	              	agree                     	                                                	'trail of footprints', 'flesh'
  384	企          	character	          	              	look forward to           	                                                	'stop', 'umbrella'
  385	武          	character	Advanced  	              	military                  	                                                	'one', 'arrow', 'stop', 'footprint'
  386	赋          	character	          	              	levy                      	                                                	'clam', 'military'
  387	正          	character	Elementary	Elementary    	correct                   	                                                	'one', 'footprint'
  388	证          	character	Advanced  	              	evidence                  	                                                	'words', 'correct'
  389	政          	character	Advanced  	              	politics                  	                                                	'correct', 'taskmaster'
     	囧走－十    	primitive	          	Elementary (1)	mending                   	                                                	'correct'
  390	定          	character	Medium    	              	settle on                 	                                                	'mending', 'house'
  391	走          	character	Elementary	Elementary    	walk                      	                                                	'mending', 'soil'
  392	超          	character	Medium    	              	transcend                 	                                                	'summon', 'walk'
  393	越          	character	Medium    	              	surpass                   	                                                	'parade', 'walk'
  394	是          	character	Elementary	Elementary    	be                        	                                                	'mending', 'tongue wagging in the mouth'
  395	题          	character	Medium    	              	topic                     	                                                	'page', 'be'
     	廴          	primitive	          	              	stretch                   	                                                	
  396	延          	character	          	              	prolong                   	                                                	'stretch', 'a drop of', 'trail of footprints'
  397	诞          	character	          	              	nativity                  	                                                	'prolong', 'words'
     	聿          	primitive	          	              	brush                     	                                                	
  398	建          	character	Advanced  	              	build                     	                                                	'brush', 'stretch'
     	疋          	primitive	          	Elementary (1)	zoo                       	                                                	'mending'
  399	楚          	character	Medium    	              	clear                     	                                                	'zoo', 'woods'
  400	衣          	character	Elementary	Elementary    	clothing                  	'cloak', 'scarf', 'bandana', 'top hat and scarf'	'top hat'
  401	裁          	character	          	              	tailor                    	                                                	'clothing', 'Thanksgiving'
  402	装          	character	Medium    	              	attire                    	                                                	'clothing', 'turtle', 'soldier'
  403	哀          	character	          	              	grief                     	                                                	'top hat and scarf', 'mouth'
  404	袁          	character	          	              	Yuan                      	                                                	'lidded crock', 'scarf'
  405	初          	character	Advanced  	              	elementary                	                                                	'cloak', 'dagger'
  406	补          	character	Advanced  	              	patch                     	                                                	'clothing', 'magic wand'
  407	衬          	character	Advanced  	              	inner garments            	                                                	'glue', 'clothing'
  408	农          	character	Advanced  	              	agriculture               	                                                	'crown', 'scarf'
  409	浓          	character	          	              	concentrated              	                                                	'water', 'agriculture'
  410	巾          	character	Advanced  	Elementary (1)	towel                     	                                                	
  411	帅          	character	Advanced  	Elementary (1)	commander                 	                                                	'saber', 'towel'
  412	师          	character	Elementary	Elementary    	teacher                   	                                                	'commander', 'ceiling'
  413	狮          	character	          	              	lion                      	                                                	'teacher', 'pack of wild dogs'
  414	布          	character	Advanced  	              	cloth                     	                                                	'by one’s side', 'towel'
  415	帜          	character	          	              	streamer                  	                                                	'towel', 'mouth', 'animal legs'
  416	帽          	character	          	              	hat                       	                                                	'risk', 'towel'
  417	幕          	character	          	              	curtain                   	                                                	'graveyard', 'towel'
     	帛          	primitive	          	              	white towel               	                                                	'white', 'towel'
  418	棉          	character	          	              	cotton                    	                                                	'tree', 'white towel'
  419	市          	character	Medium    	              	market                    	                                                	'towel', 'top hat'
  420	肺          	character	          	              	lungs                     	                                                	'market', 'flesh'
     	囧冖＋巾    	primitive	          	              	apron                     	                                                	'towel', 'crown'
  421	带          	character	Medium    	              	sash                      	                                                	'apron', 'one', 'small'
  422	滞          	character	          	              	stagnant                  	                                                	'sash', 'water'
     	囧冂        	primitive	          	Elementary (1)	belt                      	                                                	'towel'
     	朿          	primitive	          	              	thorn                     	                                                	'belt', 'tree'
  423	刺          	character	          	              	thorn                     	                                                	'thorn', 'saber'
  424	制          	character	Advanced  	              	system                    	                                                	'cow', 'saber', 'belt'
  425	雨          	character	Elementary	Elementary    	rain                      	'weather'                                       	
  426	雷          	character	Advanced  	              	thunder                   	                                                	'rice field', 'weather'
  427	霜          	character	          	              	frost                     	                                                	'weather', 'one another'
  428	云          	character	Medium    	Elementary (1)	cloud                     	'rising cloud'                                  	
  429	运          	character	Medium    	              	carry                     	                                                	'road', 'rising cloud'
     	冫          	primitive	          	Elementary (1)	ice                       	                                                	'water'
  430	冰          	character	Medium    	Elementary (1)	ice                       	                                                	'water', 'ice'
  431	况          	character	Medium    	              	situation                 	                                                	'teenager', 'ice'
  432	冲          	character	Advanced  	              	collide                   	                                                	'middle', 'ice'
  433	减          	character	Advanced  	              	reduce                    	                                                	'ice', 'salt'
  434	凉          	character	Medium    	              	cool                      	                                                	'capitol building', 'ice'
  435	冬          	character	Medium    	              	winter                    	                                                	'walking legs', 'ice'
  436	天          	character	Elementary	Elementary    	heavens                   	                                                	'ceiling', 'St. Bernard dog'
  437	吴          	character	          	              	Wu                        	'Heaven in your Mouth'                          	'heavens', 'mouth'
  438	娱          	character	          	              	amusement                 	                                                	'Heaven in your Mouth', 'woman'
  439	误          	character	Medium    	              	error                     	                                                	'words', 'Heaven in your Mouth'
  440	夭          	character	          	Elementary (1)	die young                 	                                                	'St. Bernard dog', 'a drop of'
  441	乔          	character	          	              	pretend                   	'angel'                                         	'crutches', 'die young'
  442	桥          	character	Advanced  	              	bridge                    	                                                	'tree', 'angel'
  443	娇          	character	          	              	attractive                	                                                	'woman', 'angel'
  444	立          	character	Advanced  	Elementary (1)	standing up               	'vase'                                          	
  445	泣          	character	          	              	weep                      	                                                	'standing up', 'water', 'vase'
  446	站          	character	Elementary	Elementary    	station                   	                                                	'tell fortunes', 'vase'
  447	章          	character	Advanced  	              	chapter                   	                                                	'sunflower', 'vase'
  448	竞          	character	Advanced  	              	compete                   	                                                	'teenager', 'vase'
  449	帝          	character	          	              	sovereign                 	                                                	'standing up', 'apron'
  450	童          	character	Advanced  	              	juvenile                  	                                                	'standing up', 'computer'
  451	商          	character	Medium    	              	salesman                  	                                                	'standing up', 'helmet', 'animal legs', 'mouth'
     	啇          	primitive	          	              	antique                   	                                                	'vase', 'glass cover', 'ancient'
  452	滴          	character	          	              	drip                      	                                                	'water', 'antique'
  453	匕          	character	          	Elementary (1)	ancient spoon             	'spoon', 'someone sitting on the ground'        	
  454	北          	character	Elementary	Elementary    	north                     	                                                	'someone sitting on the ground'
  455	背          	character	Medium    	              	back                      	                                                	'part of the body', 'north'
  456	比          	character	Elementary	Elementary    	compare                   	                                                	'spoon'
  457	昆          	character	          	              	descendants               	                                                	'sun', 'compare'
  458	混          	character	          	              	mix                       	                                                	'water', 'descendants'
  459	皆          	character	          	              	all                       	                                                	'compare', 'white'
  460	此          	character	Advanced  	Elementary (1)	this (literary)           	                                                	'trail of footprints', 'spoon'
  461	些          	character	Elementary	Elementary    	somewhat                  	                                                	'this (literary)', 'two'
  462	它          	character	Medium    	              	it                        	                                                	'house', 'someone sitting on the ground'
  463	旨          	character	          	              	purpose                   	                                                	'spoon', 'sun'
  464	脂          	character	          	              	grease                    	                                                	'purpose', 'body'
     	仑          	primitive	          	              	lifeguard                 	                                                	'someone sitting on the ground', 'umbrella'
  465	论          	character	Medium    	              	theory                    	                                                	'lifeguard', 'words'
  466	轮          	character	          	              	wheel                     	                                                	'lifeguard', 'car'
     	𠂉          	primitive	          	Elementary (1)	reclining                 	'lying (down)'                                  	
  467	每          	character	Elementary	Elementary    	every                     	                                                	'lying (down)', 'mother'
  468	梅          	character	          	              	small plum                	                                                	'every', 'tree'
  469	海          	character	Medium    	              	sea                       	                                                	'every', 'water'
  470	乞          	character	          	Elementary (1)	beg                       	                                                	'lying (down)', 'hook'
  471	吃          	character	Elementary	Elementary    	eat                       	                                                	'mouth', 'beg'
  472	复          	character	Medium    	              	duplicate                 	'double back'                                   	'reclining', 'day', 'walking legs'
  473	腹          	character	          	              	abdomen                   	                                                	'body', 'double back'
  474	欠          	character	Medium    	Elementary (1)	lack                      	'yawn'                                          	
  475	吹          	character	Medium    	              	blow                      	                                                	'mouth', 'lack'
  476	歌          	character	Elementary	Elementary    	song                      	                                                	'can', 'yawn'
  477	软          	character	          	              	soft                      	                                                	'car', 'yawn'
  478	次          	character	Elementary	Elementary    	next                      	'secondary'                                     	'lack', 'ice'
  479	资          	character	Advanced  	              	assets                    	                                                	'shells', 'next'
  480	姿          	character	          	              	looks                     	                                                	'woman', 'secondary'
  481	咨          	character	          	              	consult with              	                                                	'secondary', 'mouth'
     	咅          	primitive	          	              	muzzle                    	                                                	'vase', 'mouth'
  482	赔          	character	          	              	compensate                	                                                	'clam', 'muzzle'
  483	培          	character	          	              	cultivate                 	                                                	'muzzle', 'soil'
  484	音          	character	Medium    	Elementary (1)	sound                     	                                                	'standing up', 'tongue wagging in the mouth'
  485	暗          	character	Advanced  	              	dark                      	                                                	'sun', 'sound'
  486	韵          	character	          	              	rhyme                     	                                                	'sound', 'uniform'
  487	竟          	character	          	              	unexpectedly              	'mirror'                                        	'standing up', 'human legs', 'tongue wagging in the mouth'
  488	镜          	character	Advanced  	              	mirror                    	                                                	'metal', 'mirror'
  489	境          	character	Advanced  	              	boundary                  	                                                	'land', 'mirror'
  490	亡          	character	Advanced  	Elementary (1)	deceased                  	'perish'                                        	'top hat', 'hook'
  491	盲          	character	          	              	blind                     	                                                	'eye', 'perish'
  492	妄          	character	          	              	absurd                    	                                                	'woman', 'perish'
  493	望          	character	Medium    	              	expect                    	                                                	'king', 'perish', 'flesh'
  494	方          	character	Elementary	Elementary    	direction                 	'compass'                                       	'dagger', 'top hat'
  495	妨          	character	          	              	hinder                    	                                                	'compass', 'woman'
  496	放          	character	Elementary	Elementary    	release                   	                                                	'taskmaster', 'compass'
  497	激          	character	          	              	excite                    	                                                	'taskmaster', 'white', 'water', 'compass'
  498	旁          	character	Elementary	Elementary    	side                      	                                                	'standing up', 'crown', 'compass'
  499	兑          	character	          	Elementary (1)	convert                   	'devil'                                         	'teenager', 'horns'
  500	脱          	character	          	              	undress                   	                                                	'flesh', 'devil'
  501	说          	character	Elementary	Elementary    	speak                     	                                                	'words', 'devil'
  502	曾          	character	Advanced  	              	formerly                  	'increase'                                      	'horns', 'brain', 'tongue wagging in the mouth'
  503	增          	character	Advanced  	              	increase                  	                                                	'soil', 'increase'
  504	赠          	character	          	              	make a present of         	                                                	'clam', 'increase'
  505	也          	character	Elementary	Elementary    	also                      	'scorpion'                                      	'fishhook'
  506	她          	character	Elementary	Elementary    	she                       	                                                	'woman', 'scorpion'
  507	地          	character	Elementary	Elementary    	ground                    	                                                	'soil', 'scorpion'
  508	池          	character	          	              	pond                      	                                                	'water', 'scorpion', 'a drop of'
  509	虫          	character	Medium    	Elementary (1)	insect                    	                                                	
  510	虾          	character	          	              	shrimp                    	                                                	'insect', 'below'
  511	独          	character	Advanced  	              	alone                     	                                                	'pack of wild dogs', 'insect'
  512	虽          	character	Medium    	              	although                  	                                                	'mouth', 'insect'
  513	蛇          	character	          	              	serpent                   	                                                	'insect', 'it'
  514	蛋          	character	Elementary	Elementary    	egg                       	                                                	'zoo', 'insect'
  515	己          	character	Medium    	Elementary (1)	self                      	'snake'                                         	
  516	起          	character	Elementary	Elementary    	begin                     	                                                	'walk', 'snake'
  517	改          	character	Medium    	              	alter                     	                                                	'snake', 'taskmaster'
  518	记          	character	Elementary	Elementary    	remember                  	                                                	'words', 'snake'
  519	已          	character	Medium    	Elementary (1)	already                   	'snakeskin'                                     	'snake'
  520	包          	character	Elementary	Elementary    	wrap                      	                                                	'bound up', 'snakeskin'
  521	泡          	character	          	              	bubbles                   	                                                	'water', 'wrap'
  522	导          	character	Advanced  	              	guide                     	                                                	'snakeskin', 'glue'
  523	顾          	character	Medium    	              	look back                 	                                                	'cliff', 'snakeskin', 'head'
     	豕          	primitive	          	Elementary (1)	sow                       	                                                	
  524	逐          	character	          	              	pursue                    	                                                	'sow', 'road'
  525	家          	character	Elementary	Elementary    	house                     	                                                	'house', 'sow'
     	𠃓          	primitive	          	Elementary (1)	piglets                   	                                                	'sow'
  526	场          	character	Elementary	Elementary    	site                      	                                                	'soil', 'piglets'
  527	汤          	character	Medium    	              	soup                      	                                                	'water', 'piglets'
  528	羊          	character	Medium    	Elementary (1)	sheep                     	                                                	'horns'
  529	美          	character	Medium    	              	beautiful                 	                                                	'large', 'sheep'
  530	洋          	character	          	              	ocean                     	                                                	'water', 'sheep'
  531	鲜          	character	Advanced  	              	fresh                     	                                                	'fish', 'sheep'
  532	样          	character	Elementary	Elementary    	appearance                	                                                	'tree', 'sheep'
  533	兰          	character	          	              	orchid                    	                                                	'sheep'
  534	烂          	character	          	              	spoiled                   	                                                	'fire', 'orchid'
     	囧差－工    	primitive	          	Elementary (1)	wool                      	                                                	'sheep'
  535	差          	character	Elementary	Elementary    	fall short of             	                                                	'wool', 'I-beam'
  536	着          	character	Elementary	Elementary    	-ing                      	                                                	'wool', 'eye'
  537	养          	character	Medium    	              	raise                     	                                                	'wool', 'introduce'
     	隹          	primitive	          	Elementary (1)	turkey                    	                                                	
  538	集          	character	Advanced  	              	gather                    	                                                	'turkey', 'tree'
  539	准          	character	Elementary	Elementary    	standard                  	                                                	'ice', 'turkey'
  540	谁          	character	Elementary	Elementary    	who?                      	                                                	'words', 'turkey'
  541	售          	character	Advanced  	              	vend                      	                                                	'turkey', 'mouth'
  542	午          	character	Elementary	Elementary    	noon                      	'stick horse'                                   	
  543	许          	character	Medium    	              	permit                    	                                                	'words', 'stick horse'
  544	羽          	character	          	Elementary (1)	feathers                  	'wings'                                         	
  545	习          	character	Elementary	Elementary    	learn                     	                                                	'wings'
  546	翔          	character	          	              	soar                      	                                                	'sheep', 'feathers'
     	囗          	primitive	          	Elementary (1)	pent in                   	                                                	
  547	困          	character	Medium    	              	trapped                   	                                                	'pent in', 'tree'
  548	固          	character	          	              	solid                     	                                                	'pent in', 'ancient'
  549	国          	character	Elementary	Elementary    	country                   	                                                	'pent in', 'jade'
  550	圆          	character	Advanced  	              	round                     	                                                	'pent in', 'employee'
  551	因          	character	Elementary	Elementary    	cause                     	                                                	'pent in', 'St. Bernard dog'
  552	烟          	character	Advanced  	              	smoke                     	                                                	'fire', 'cause'
  553	园          	character	Advanced  	              	park                      	                                                	'pent in', 'beginning'
  554	回          	character	Elementary	Elementary    	return                    	                                                	'pent in', 'mouth'
  555	图          	character	Medium    	              	picture                   	                                                	'pent in', 'winter'
  556	广          	character	Medium    	Elementary (1)	extensive                 	'cave'                                          	'cliff', 'house'
  557	店          	character	Elementary	Elementary    	store                     	                                                	'cave', 'tell fortunes'
  558	库          	character	          	              	warehouse                 	                                                	'cave', 'car'
  559	裤          	character	          	              	trousers                  	                                                	'cloak', 'warehouse'
  560	床          	character	Medium    	              	bed                       	                                                	'cave', 'tree'
  561	麻          	character	Medium    	              	hemp                      	                                                	'cave', 'woods'
  562	庄          	character	Advanced  	              	hamlet                    	                                                	'cave', 'soil'
  563	心          	character	Medium    	Elementary (1)	heart                     	'state of mind', 'valentine'                    	
  564	忘          	character	Elementary	Elementary    	forget                    	                                                	'perish', 'heart'
  565	忍          	character	Advanced  	              	endure                    	                                                	'blade', 'heart'
  566	总          	character	Medium    	              	general                   	                                                	'animal horns', 'mouth', 'heart'
  567	态          	character	Medium    	              	attitude                  	                                                	'overly', 'heart'
  568	志          	character	Medium    	              	aspiration                	                                                	'soldier', 'heart'
  569	思          	character	Medium    	              	consider                  	                                                	'brains', 'heart'
  570	恩          	character	          	              	kindness                  	                                                	'cause', 'heart'
  571	愿          	character	Medium    	              	wish                      	                                                	'flatlands', 'heart'
  572	意          	character	Elementary	Elementary    	idea                      	                                                	'sound', 'heart'
  573	想          	character	Elementary	Elementary    	think                     	                                                	'one another', 'heart'
  574	息          	character	Elementary	Elementary    	breath                    	                                                	'nose', 'heart'
  575	恐          	character	Advanced  	              	fear                      	                                                	'work', 'ordinary', 'heart'
  576	感          	character	Medium    	              	feel                      	                                                	'salty', 'heart'
